mp3_title	youtube_title	used_query	youtube_url
League of legends - Warriors (Lyrics) feat. Imagine Dragons(MP3_160K)	Jamie Berry - Peeping Tom (Feat. Rosie Harte)	League of legends - Warriors (Lyrics) feat. Imagine Dragons(MP3_160K)	https://www.youtube.com/watch?v=beFo0PSXC-8
Let Me Down Slowly x Main Dhoondne Ko Zamaane Mein (Gravero Mashup) _ Full Version(M4A_128K)	Let Me Down Slowly x Main Dhoondne Ko Zamaane Mein (Gravero Mashup) | Full Version	Let Me Down Slowly x Main Dhoondne Ko Zamaane Mein (Gravero Mashup) _ Full Version(M4A_128K)	https://www.youtube.com/watch?v=s-bZD3O3P80
Long Distance Love - Lyrics  Coke Studio Bangla  Ankan _ Afrin  Shuvendu	Long Distance Love | Coke Studio Bangla	Long Distance Love - Lyrics Coke Studio Bangla Ankan _ Afrin Shuvendu	https://www.youtube.com/watch?v=xQ2Dz9K9xeg
MONTAGEM LADRAO SLOWED(MP3_160K)	Montagem Ladrao (Ultra Slowed)	MONTAGEM LADRAO SLOWED(MP3_160K)	https://www.youtube.com/watch?v=V8ZH6ztcDhQ
MONTAGEM TOMADA SLOWED(MP3_160K)	𝙈𝙓𝙕𝙄 - 𝙈𝙊𝙉𝙏𝘼𝙂𝙀𝙈 𝙏𝙊𝙈𝘼𝘿𝘼 (𝙐𝙇𝙏𝙍𝘼 𝙎𝙇𝙊𝙒𝙀𝘿 + 𝙍𝙀𝙑𝙀𝙍𝘽)	MONTAGEM TOMADA SLOWED(MP3_160K)	https://www.youtube.com/watch?v=rLvkQ-7Jdlw
MONTAGEM XONADA	MONTAGEM XONADA	MONTAGEM XONADA	https://www.youtube.com/watch?v=sC2b43vxJbQ
Maine Royaan _ Tanveer Evan (Slowed x Reverb)(MP3_160K)	Maine Royaan | Tanveer Evan (Slowed x Reverb)	Maine Royaan _ Tanveer Evan (Slowed x Reverb)(MP3_160K)	https://www.youtube.com/watch?v=vI80J5Z3yto
Matushka ultrafunk SUPER SLOWED REVERB(MP3_160K)	satirin - MATUSHKA ULTRAFUNK {𝖘𝖚𝖕𝖊𝖗 𝖘𝖑𝖔𝖜𝖊𝖉 + 𝖑𝖔𝖔𝖕𝖊𝖉}	Matushka ultrafunk SUPER SLOWED REVERB(MP3_160K)	https://www.youtube.com/watch?v=17f0aK6TW8s
Mayabee (মায়াবী) - Blue Touch (Official Music Video)(M4A_128K)	Mayabee (মায়াবী) - Blue Touch (Official Music Video)	Mayabee (মায়াবী) - Blue Touch (Official Music Video)(M4A_128K)	https://www.youtube.com/watch?v=riy2ANErV3o
Michikatsu Vs Uppermoons _ Demon Slayer(M4A_128K)	Uppermoons & Hashiras React to Michikatsu Tsugikuni|| Grace gamer playz || Demon Slayer	Michikatsu Vs Uppermoons _ Demon Slayer(M4A_128K)	https://www.youtube.com/watch?v=8nO2eC7KNWs
